#          p        sig_p         v          bv       sig_bv
#
       10.89         0.9         7.8       0.458       0.003
       11.93        0.99        9.57        0.68       0.031
       12.09        0.88        7.62       0.564       0.014
       12.37        0.95        7.35       0.471       0.007
       12.65        0.93        7.44       0.403       0.009
       17.36        0.49        6.61       0.374       0.001
       14.06        0.85         9.1        0.72       0.005
       15.97        0.85        7.45       0.456       0.012
       11.86        0.91        7.31       0.404       0.004
       15.23        0.94        9.34       0.695       0.025
       14.01        0.98        7.77       0.518       0.003
       10.83         0.7         8.1       0.436       0.003
       10.95        0.79        7.27       0.275       0.008
        11.2        0.53        7.54       0.406       0.003
       11.21        0.91         8.2       0.489       0.016
       12.98        0.54        7.02       0.506       0.003
       10.22        0.67        8.17       0.412       0.015
       18.94        0.66        7.11       0.636       0.001
       11.61        0.68        8.13       0.407       0.007
        19.1        0.85        7.47       0.546       0.004
       19.51        0.89        7.22       0.663       0.005
       14.64        0.89        7.64       0.536       0.006
       13.18        0.78        7.83       0.632       0.003
       29.35        0.64        8.17       0.771        0.02
       20.82        0.79        7.85       0.556       0.012
       11.39        0.77        8.76       0.508       0.016
       17.79        0.96        8.43       0.623       0.013
       14.82        0.93        7.66        0.49       0.004
       11.12        0.87        8.08        0.42           0
       27.25        0.77        6.29        0.45       0.004
       10.14        0.81        8.19        0.48       0.015
       16.67        0.65         8.1       0.554       0.015
       10.89        0.89        7.65       0.405       0.003
        24.8        0.99        9.55       1.035       0.039
       43.08        0.79        6.26        0.53       0.005
       12.04        0.76        8.91       0.566       0.018
       15.05        0.61        7.33        0.49       0.003
       41.41        0.44         5.7       0.481       0.006
       17.92        0.66         7.4       0.465       0.004
       11.79        0.69        8.43       0.633       0.013
       10.04        0.97        9.12       0.617       0.019
        17.8        0.53        6.42        0.55       0.015
       13.68        0.73        8.38       0.511       0.015
       18.69         0.8        8.83       0.641       0.019
       24.56        0.81        7.09       0.667       0.005
       10.13        0.64         7.9       0.596       0.003
       21.17        0.56        6.45       0.386       0.005
       11.48         0.7        8.59       0.499       0.013
       14.36        0.87        9.03       0.656        0.02
       18.42         0.6        6.77       0.423       0.007
       16.25        0.98        7.69       0.583       0.012
       13.04        0.84        7.45       0.465       0.003
        40.9        0.38        1.93       0.043       0.006
       26.24        0.67           6        0.78       0.015
       21.94        0.59        7.34       0.546       0.004
       10.39        0.77        8.95       0.519       0.017
       15.41        0.72        7.99       0.516       0.015
       30.98        0.84        7.58        0.67       0.007
       19.74         0.8        5.64       0.194       0.005
       36.74         0.6        7.61       0.746       0.002
          13        0.67        8.72        0.53       0.014
       10.64        0.96         7.2       0.441        0.01
       19.79        0.78        8.46       0.819       0.016
       19.77        0.81        7.04        0.48       0.004
       22.82        0.86        7.09       0.642       0.009
       23.71        0.75        5.25       0.195       0.006
        18.9        0.73         6.8       0.558       0.004
       24.98        0.87        6.81       0.504       0.006
       19.22        0.91        9.49        0.77       0.015
          18        0.95        9.36        0.77       0.028
       11.86        0.76        8.74       0.534       0.017
       14.91        0.75        8.49       0.579       0.013
       14.61         0.9        9.34       0.637       0.025
       23.16        0.67        8.22        0.79       0.015
       13.29        0.68        8.06        0.54       0.012
        20.9        0.82        8.68       0.728       0.019
       12.71        0.73        8.54       0.545       0.015
       16.66        0.73        8.19       0.551       0.001
       15.53        0.84        9.07       0.633       0.002
       11.84        0.64        7.84       0.582       0.004
        11.6        0.96        8.88       0.543       0.015
       16.64        0.81        6.61       0.271       0.007
       10.41        0.67        8.28       0.445       0.015
       19.48        0.76        7.56       0.505       0.003
       34.97        0.79        8.36        0.87           0
       57.63        0.64        5.52       0.551       0.003
       12.54         0.7        7.92       0.627        0.01
       45.72        0.51        4.89         0.5       0.015
       20.84        0.88        8.25       0.646       0.012
       10.77        0.66        8.29         0.5       0.015
       17.71         0.7        7.64       0.523       0.007
       73.47         0.7        5.36       0.614       0.015
       13.34        0.82        7.25       0.444       0.008
       11.31        0.73        8.54       0.492       0.002
       10.46        0.71        8.57        0.41       0.015
       16.43        0.67        7.93       0.524       0.009
       26.02        0.68        6.81       0.501       0.005
       17.54        0.62        5.04       0.031       0.003
        16.8        0.64        7.85       0.521       0.001
       10.06        0.65         5.7      -0.061       0.002
       33.58        0.76        4.39       0.191       0.004
        27.1         0.8        9.02       0.885       0.015
       21.94        0.75        6.36       0.505       0.005
       76.46        0.63        7.64       1.115       0.015
       10.99        0.65        8.21       0.593       0.015
       15.52        0.99        7.68       0.481       0.003
       11.62        0.98        8.09       0.456       0.003
       37.97        0.84        5.27       0.498       0.005
        34.7        0.53        6.63       0.594       0.009
       21.91        0.82        7.37       0.539       0.006
       11.12        0.73         8.1       0.471       0.015
       19.93        0.79        8.64       0.701       0.017
       19.66        0.77        8.34       0.628       0.012
       27.96        0.86        7.12       0.572       0.011
       12.91        0.92         6.3       0.273       0.007
       35.27        0.65        7.59       0.724           0
       14.92        0.98        7.83       0.503       0.015
       19.34        0.74        8.36       0.636       0.012
       18.53        0.69        7.77       0.529       0.015
       17.86        0.82        9.27       0.843       0.014
       29.43        0.89        7.59        0.66        0.01
       16.61        0.86        9.08       0.736       0.021
        28.9        0.56        7.12       0.583       0.009
       13.42         0.6        7.75       0.466       0.006
        13.1        0.89        8.79       0.617       0.002
       11.24        0.67        7.14       0.475       0.004
       10.35        0.68        8.24       0.476       0.011
       14.04        0.69        8.64       0.702       0.017
       16.31        0.96        7.93       0.558       0.004
       14.07        0.45        6.05       0.062       0.003
       12.47         0.8        8.86        0.59       0.019
       17.17        0.93        7.67       0.716       0.006
       31.28         0.7        5.53       0.409       0.003
       23.01        0.93        7.59       0.692       0.001
       10.81         0.7        8.24       0.436       0.015
       27.38        0.52        6.91       0.477       0.008
       18.34        0.66        8.15       0.528       0.011
       38.14        0.89        7.91       0.894       0.008
        17.3        0.79        6.47       0.682       0.004
       15.27        0.55        7.28       0.389       0.015
       14.76        0.72        8.71       0.602       0.015
       19.68        0.68        7.78       0.717       0.002
       12.65         0.8         9.2       0.598        0.02
       15.09        0.85        9.25       0.732       0.027
       14.32        0.74        8.29       0.521       0.015
       12.26        0.85         9.1       0.644       0.021
       16.35         0.6        7.88       0.508       0.015
       19.07        0.79        5.17       0.532       0.005
          20        0.78        7.33       0.437       0.008
       13.55        0.49        6.63       0.147       0.006
       33.13         0.5        6.69        0.55       0.007
          19        0.85        9.23       0.866       0.032
        23.9        0.85        7.53       0.577       0.006
       11.91        0.97        7.97       0.536       0.015
       13.68        0.47        5.89       0.018       0.004
       36.93         0.5        6.63       0.579       0.007
       29.64        0.86        8.44       0.785       0.004
       13.26         0.6        7.35       0.429       0.007
       11.36        0.68        7.47       0.436       0.014
       16.24        0.89        8.09       0.544       0.002
        15.8        0.94        7.62       0.527       0.009
       26.28        0.94        7.85       0.682        0.02
       19.98        0.67         8.2       0.641       0.015
       11.64        0.67         7.8       0.625       0.005
       15.75        0.95        7.97         0.6       0.015
       17.98        0.47        6.53       0.598       0.006
       65.46         0.8        5.12       0.694       0.015
       26.87        0.48        5.58       0.534       0.006
       10.09        0.72        8.04       0.514       0.012
       37.97        0.61         6.1       0.487       0.018
       41.16        0.96         8.9       1.045       0.003
        11.4         0.7        8.66       0.479       0.015
       17.53        0.82        7.39       0.419       0.017
       21.34        0.86        7.01       0.458       0.015
       11.58        0.93        9.38       0.665       0.026
        18.3        0.84        8.42       0.656       0.002
       18.72        0.97        7.41       0.443       0.009
       10.95        0.71        7.98        0.47       0.011
       17.11         0.9        9.17       0.711       0.022
       20.48        0.89         6.3       0.321       0.006
       17.57        0.94        9.19       0.736       0.002
       13.24        0.64        8.12       0.502        0.01
       21.41        0.83        8.55       0.637       0.005
       12.85        0.68        8.67        0.64       0.015
       27.03        0.74        8.27       0.733       0.014
       26.52        0.85        9.03       1.089       0.003
       14.39        0.75        8.21       0.523       0.006
       16.26        0.66        7.41       0.458       0.014
       12.85         0.6        6.74       0.328       0.008
       15.54        0.79        9.09        0.64       0.018
       18.62        0.72        7.56       0.566       0.009
       25.16        0.68        3.49       0.083       0.007
       17.19        0.75        8.65       0.704       0.017
       13.84        0.51        6.74       0.227       0.007
       20.06        0.56        5.27       0.257       0.002
       14.06         0.9        6.42       0.328       0.007
       16.93        0.89         8.6       0.689       0.002
       11.64        0.75        7.76       0.624       0.005
       13.69        0.82        9.18       0.721       0.022
       10.08         0.9        6.43       0.279       0.004
       12.63        0.82        8.96       0.515       0.017
        16.3        0.55         5.9       0.213       0.005
       51.87        0.51        3.85       0.171       0.002
       20.17         0.6        7.52       0.556       0.015
       10.31        0.86        8.99       0.596        0.02
       11.43        0.71        8.43       0.559       0.015
       12.75        0.82        8.83       0.556       0.018
       14.21        0.58        7.58       0.428        0.01
       11.07        0.83        6.89       0.499       0.009
       15.13        0.63        8.21       0.543       0.011
       11.77        0.89        8.77       0.568       0.015
       60.86        0.95        7.37       0.891       0.013
       14.22        0.76        8.77       0.581       0.015
       13.41        0.96         9.6       0.747       0.033
       67.85        0.92        7.14       0.879       0.008
       12.89        0.63        7.57       0.585       0.012
       18.04        0.81        8.51       0.638       0.018
       10.15        0.95        6.41       0.163       0.008
       10.44         0.8        8.78       0.705       0.021
       14.18        0.89         7.3       0.538       0.015
       27.27        0.64        6.97       0.511       0.006
       10.72        0.83        8.36       0.453       0.013
       13.04        0.69        7.65       0.496       0.016
       14.26        0.84        7.38       0.401       0.015
        17.8        0.64        7.69       0.722       0.009
       20.02         0.7        7.28       0.441       0.007
       12.58        0.98         7.6       0.284        0.01
       12.82        0.77        8.06       0.413       0.002
       11.52        0.67        8.11       0.529       0.015
       14.38        0.99        6.51       0.351       0.028
       10.49        0.65        7.57       0.471       0.015
       10.84         0.9         8.9       0.679       0.005
       25.16        0.68        7.72       0.575       0.018
       19.58        0.82           9       0.834       0.023
       11.14         0.9        8.85       0.572       0.018
       32.45        0.55        6.64       0.527       0.005
       28.67        0.55        6.53       0.891       0.019
       15.75        0.73        7.91       0.501       0.013
       19.05        0.97        7.33       0.663       0.004
       10.22        0.51        5.71       0.006       0.003
       19.33        0.66        5.28       0.371       0.002
       10.25        0.75         8.5       0.498       0.015
       13.37        0.64        5.94       0.154       0.004
       20.35        0.83        7.13       0.445       0.004
       16.23        0.74        8.66       0.569       0.018
       20.41        0.95        8.44        0.63       0.013
       15.86        0.58        6.78       0.436       0.006
        48.9        0.64        7.58       0.875       0.019
       29.33        0.69        6.97       0.584       0.007
          24        0.66        7.62       0.592       0.009
       12.01        0.93        9.11       0.576       0.002
       12.53        0.72        7.36        0.36       0.008
       13.84        0.96        9.66       0.679       0.031
          17        0.81        8.88       0.691       0.013
       10.83         0.9        9.18       0.705       0.034
        16.4         0.8        8.81       0.712        0.01
       14.41        0.76        7.51       0.463       0.013
       29.45        0.84        8.54       0.855       0.003
       13.17         0.7        7.99       0.455       0.015
       13.55        0.64        7.62       0.468       0.009
       12.41        0.63        6.27       0.462       0.004
       11.03        0.82        9.07       0.642       0.023
        10.9        0.94        8.33       0.598        0.01
       35.46         0.8        6.45       0.593       0.001
       16.63        0.52        6.48       0.502       0.005
       14.97        0.68        4.83       0.029       0.004
       14.66        0.89        5.38       0.056       0.003
       10.66         0.9        9.33       0.664       0.024
          12        0.95        7.41       0.188       0.012
       36.11        0.59         7.5       0.705       0.001
       10.51        0.71        4.05      -0.152       0.012
       10.96        0.88        9.06       0.619       0.022
       18.49        0.81        7.03       0.604       0.002
       13.65        0.74        8.22       0.579       0.015
       18.98        0.97        9.79        0.93        0.04
       13.46        0.56        7.15       0.492       0.006
        27.9        0.96        7.48        0.73       0.001
       20.56        0.83        8.66       0.672       0.016
       16.79        0.74        6.68       0.349       0.002
       30.35        0.58        4.34       0.173       0.005
       12.85         0.9         7.7        0.51       0.015
       29.73         0.9        7.33       0.626       0.002
       10.06        0.79        9.26       0.552       0.018
       10.01        0.99        7.99       0.148       0.013
       21.28        0.66        6.56       0.513       0.004
       10.98        0.71        8.31       0.396       0.013
       38.19        0.51        5.37       0.421       0.003
       11.15        0.83         8.8        0.54        0.02
       22.79        0.73        6.79       0.639       0.003
       10.41        0.94        8.55       0.411       0.025
       18.67        0.86        7.23       0.448       0.007
       11.01        0.94        8.47       0.549       0.012
        30.2        0.75        7.59       0.637       0.002
       25.88        0.79        6.63       0.636       0.006
       12.43        0.82        7.92       0.483       0.014
       23.68        0.85        6.81       0.574       0.004
       10.87        0.81        8.89       0.563       0.017
       15.71        0.72        8.17       0.617       0.015
       40.79        0.86        6.34       0.708       0.002
       23.61        0.99        8.17       0.726       0.005
       14.44        0.77        8.25       0.511       0.004
       17.64        0.81        6.76        0.54           0
       12.08        0.96        7.67       0.473       0.018
       38.92        0.56        6.61       0.657       0.006
       13.01         0.8        8.43       0.523       0.003
          13        0.83        8.44       0.538       0.015
       12.46        0.98        7.64       0.555       0.001
       13.07        0.72        8.24         0.5       0.015
       32.14        0.82        8.21       0.763       0.002
       21.51        0.94        7.04       0.482       0.006
       15.35        0.57        6.96       0.469       0.007
       24.77        0.69        3.85       0.049       0.006
        13.8        0.72        7.89       0.448       0.015
       13.94         0.9        7.26       0.616       0.009
       12.89        0.89        9.14       0.672       0.022
       13.19        0.97        9.67       0.732       0.033
       33.64        0.84         6.6       0.712       0.005
       10.24         0.7        8.07       0.443       0.013
       11.26        0.87        6.17       0.124       0.006
       10.97        0.87        7.95       0.285       0.013
       23.18        0.56         6.9       0.498       0.004
        68.7        0.79        5.65       0.639       0.003
       14.98        0.94        7.47       0.487       0.005
       14.37        0.93        7.37         0.8       0.015
       12.64         0.8        7.92       0.508        0.01
       24.21        0.76        6.89       0.659       0.003
       11.02        0.79        9.03       0.511       0.021
        25.5        0.69        7.67       0.604       0.007
       22.19        0.67        5.67       0.367       0.003
       10.09        0.89         8.8       0.518       0.016
       13.44        0.94        7.17       0.363       0.006
        11.5        0.89        9.42       0.785       0.031
       21.23        0.95        9.22       0.825       0.025
       13.68         0.8        8.17       0.601       0.002
       14.82        0.97         6.6        0.52       0.006
       27.61        0.77        5.51       0.461       0.002
       27.86        0.82        6.76       0.527       0.009
       29.27        0.76        4.99       0.515       0.003
       12.39         0.7        7.81       0.407       0.012
        13.2        0.92        6.98       0.504       0.009
       11.22        0.96        4.27      -0.086       0.008
       27.86        0.79        8.52       0.861        0.01
       15.88        0.93        7.54       0.594       0.015
        11.7        0.82         6.6       0.466       0.003
       22.47        0.89        6.77        0.44       0.015
       15.67        0.94        7.38       0.901       0.023
       10.39        0.67        8.25       0.611       0.012
        19.2         0.8        8.65       0.656       0.012
       33.91        0.87        6.13       0.469        0.01
       11.09        0.93        7.36        0.43       0.015
       16.98        0.77        8.73       0.663       0.017
       13.74         0.7        7.81       0.485       0.009
       12.29        0.65        8.05       0.516       0.015
       17.54        0.63        7.37        0.67       0.002
       16.14        0.87        8.33       0.606       0.006
       18.77        0.96        6.73         0.5       0.004
       14.48        0.83        8.79        0.67       0.016
       30.67        0.85        8.51       0.927       0.017
       11.06        0.73        5.13      -0.114       0.003
       14.33        0.73        8.03       0.461       0.015
       63.95        0.78        5.57       0.601       0.003
       20.35        0.78         7.7       0.591       0.001
        26.3        0.93        7.17       0.603        0.01
       17.74        0.86         7.8       0.523       0.012
        11.1        0.75        9.02       0.585       0.018
       11.12        0.83        7.36         0.3       0.016
       26.64        0.66        7.27       0.584       0.005
       11.32        0.74        8.19        0.52       0.013
       11.96        0.99           8       0.447       0.014
       19.45        0.57        6.64       0.348       0.008
       17.86         0.8        8.24       0.534       0.012
       36.84        0.98        7.74       0.721       0.003
       20.81        0.91        9.18       0.805       0.024
       30.82        0.53         6.1        0.47       0.006
       18.12        0.86        6.55       0.481       0.004
       12.57        0.69        7.79       0.486        0.01
       18.63        0.95        9.45       0.769       0.029
       15.43        0.71        8.41       0.741       0.014
       23.02        0.84        7.89       0.667       0.015
       20.46        0.91        7.93       0.664       0.001
       15.99        0.62        7.06       0.472       0.007
       10.85        0.55        6.11       0.041       0.004
       10.39        0.79        6.65       0.558       0.007
       11.69        0.89        8.83       0.656       0.018
       27.76        0.76        6.06       0.508       0.003
       15.08        0.88        7.47       0.468       0.017
       15.85        0.85        8.86        0.64        0.02
       36.44        0.97        9.04        1.04        0.01
       10.69        0.63         6.9       0.156       0.005
        11.6         0.9        9.31       0.653       0.027
       15.22        0.73        8.01        0.49        0.03
       15.17        0.71        7.74        0.49        0.01
       17.24         0.9         8.4       0.583       0.015
       27.62        0.59        7.52       0.655       0.005
       26.55        0.86        7.52        0.57       0.018
       12.07        0.69        8.01       0.466        0.01
       11.79        0.83        8.67        0.68       0.015
       10.17        0.83         9.1       0.682       0.021
       10.53        0.76        8.67       0.608       0.016
       12.68        0.71        8.02       0.529       0.015
       13.98        0.87        7.94       0.407       0.008
       21.38        0.55        6.83       0.463       0.005
       18.75        0.82        6.44       0.514       0.005
       22.27        0.64        6.77       0.577       0.002
       13.03        0.77        6.57        0.24       0.009
        17.7        0.97        7.73       0.451       0.007
       14.74        0.75        7.67       0.416       0.008
        15.2        0.93        7.21        0.54       0.007
       11.89        0.76           9       0.575       0.009
       20.47        0.85        8.92       0.764       0.013
       25.39        0.55         6.5       0.522       0.005
       15.55        0.69        7.86        0.71        0.01
       19.41        0.96        7.35       0.503       0.006
       21.04        0.88        7.34       0.759       0.001
       12.46        0.77        7.41       0.496       0.011
       10.62        0.76        7.51       0.392       0.015
       28.34        0.98        7.53       0.637       0.015
       19.83         0.6        6.58       0.386       0.016
       11.63        0.61        6.66       0.442       0.013
       14.85         0.8        7.71       0.446       0.016
       12.62        0.93        8.89       0.509       0.016
       18.22        0.58        7.24       0.551       0.015
       18.76        0.92        7.46       0.614       0.015
       12.86        0.75        7.43       0.461       0.015
       16.55        0.77        6.91        0.37       0.005
       26.41        0.95        6.84       0.533       0.002
       41.05        0.59        6.75       0.586       0.014
       17.96         0.6        7.53       0.629       0.017
       19.45        0.97         7.2       0.473       0.005
       10.21         0.7        6.17       0.066       0.002
       15.44        0.72        7.51       0.643           0
       66.43        0.64        4.97       0.571       0.007
       10.22        0.85        6.28       0.074       0.006
       16.26         0.7        4.74       0.082       0.001
       15.85        0.86        7.38       0.508       0.008
       11.68        0.94        7.34       0.429       0.006
       10.22        0.85        9.05        0.63        0.02
       14.39        0.92        9.45       0.645       0.028
       22.24        0.77        6.11       0.299       0.007
       10.57        0.84        6.45       0.245       0.006
       19.87        0.78        8.26        0.64       0.015
       10.92        0.96        6.32       0.187       0.003
       26.24        0.85        6.65       0.482       0.004
       21.28        0.58        7.17       0.519       0.007
       40.87        0.84        6.93       0.643       0.001
       11.47        0.78        8.63       0.587       0.016
       11.16        0.93        8.26       0.516        0.01
       10.85         0.9        8.81       0.587       0.016
       11.74        0.83        7.46       0.368        0.01
       37.01        0.58        5.93       0.493       0.009
       19.11        0.75        8.21       0.574       0.014
       12.73         0.8        8.85       0.567       0.005
       16.81        0.91        8.66        0.67       0.016
       15.53        0.84        6.66       0.388       0.009
       47.51        0.78        6.31       0.596       0.004
       11.44        0.88         7.2       0.546       0.013
       18.57        0.75        9.09       0.702       0.022
       15.67        0.98         7.9       0.493        0.01
       16.33        0.95        7.87       0.533       0.011
       10.67        0.94        7.86         0.4       0.008
       23.85        0.98        6.48       0.526       0.009
       25.21        0.64        6.98       0.502       0.006
       19.77        0.95        7.55       0.534       0.006
       13.85         0.6        7.52       0.584       0.003
       13.91        0.88        9.36       0.634       0.024
       13.57         0.8        8.68       0.626       0.003
       79.91        0.92        7.77       1.064        0.02
          15        0.78        8.12       0.648       0.002
       31.22        0.83        7.23        0.68       0.002
       10.68        0.98        9.05       0.511       0.017
       16.51         0.6        7.49       0.463       0.015
       23.69        0.73        6.59       0.467       0.011
       13.52        0.98        9.46       0.731       0.031
       10.38        0.81        8.92       0.623       0.018
          27        0.57        6.38       0.457       0.004
       46.26        0.81        6.52       0.587       0.012
       11.77        0.85        7.88       0.408       0.015
       17.16        0.85        8.16       0.568       0.026
       13.59        0.99        9.16        0.43       0.015
        19.8        0.79        8.72       0.629       0.011
       10.23         0.6        7.51       0.168       0.015
       10.92        0.66        7.69       0.559       0.015
       28.23        0.94        7.83       0.815       0.019
       33.68        0.87        8.89       0.955       0.004
        11.8        0.93        8.19       0.515       0.007
       26.81        0.72        6.59        0.48       0.011
       10.33        0.85        8.11       0.492       0.009
       11.26        0.65        5.81      -0.064       0.003
       25.68         0.7        7.39        0.59       0.008
       32.96        0.95        7.01       0.619       0.003
       19.96        0.77        8.71       0.678       0.013
       13.75        0.82        8.35       0.521       0.015
       42.51        0.69        3.93       0.175       0.008
       13.83        0.98        9.24       0.592       0.002
       19.82        0.73        8.31       0.658       0.013
          12        0.72        8.13       0.511       0.013
       10.77        0.56        6.52      -0.008       0.002
       11.69        0.64        7.64       0.524       0.015
       12.27        0.99        8.06       0.453       0.015
       11.12        0.86         7.8       0.413       0.015
       44.52         0.8        8.81       1.106       0.002
       15.02        0.83        7.81       0.607       0.015
       24.96        0.92        7.67       0.606       0.013
       26.63        0.66        7.31       0.664       0.004
       18.39        0.75        6.75       0.529       0.007
       10.91        0.68        7.92       0.427       0.015
       25.54        0.88        6.65       0.469       0.006
       16.11        0.76        8.66       0.661       0.016
       11.81        0.89        8.35        0.61       0.012
       42.04         0.9        6.75       0.637       0.001
       10.18        0.88        7.63       0.359       0.015
       11.93        0.93        9.38       0.593       0.023
       18.47        0.95        8.24       0.567       0.005
       22.97         0.9        8.23       0.811       0.003
       10.89        0.87        7.57       0.484       0.008
       10.05         0.9        7.28        0.18       0.012
       12.28        0.92         9.4       0.727       0.027
       15.58        0.67        5.54       0.044       0.003
       10.44        0.76        8.82       0.495       0.018
       10.19        0.66         6.4       0.068       0.001
       10.43        0.62        7.79       0.409       0.011
       44.73        0.79        8.11       0.904       0.002
       11.91        0.66        6.67        0.33           0
       10.33        0.92        7.29       0.367       0.007
       21.23        0.98        7.89       0.666       0.001
       35.85        0.52        6.67       0.673       0.004
       13.17        0.82        7.93       0.532       0.003
       29.86        0.82        8.78       0.887       0.025
       11.71        0.81        8.54       0.589       0.015
       16.58        0.82        8.27        0.53       0.015
       13.57        0.81        8.77       0.448       0.016
       20.04        0.71        8.53       0.685       0.013
       25.65        0.83        6.91       0.501       0.006
       13.64        0.76        6.65       0.218       0.008
       15.01        0.71        5.94       0.297       0.005
       16.04        0.56        5.76       0.205       0.002
       11.92        0.71        4.69       0.078       0.002
       19.13        0.95        7.43       0.503        0.01
       10.67        0.78        8.49       0.538       0.013
       22.63        0.85        6.68       0.402       0.006
       11.33        0.91        8.72        0.58       0.015
       37.45        0.85        8.61       0.913       0.013
       13.45        0.61        7.47       0.441       0.008
       13.34        0.79        7.43       0.431       0.007
       21.26        0.75        8.28        0.66       0.013
       10.55        0.69        5.12       -0.06       0.006
       41.32        0.76        5.15       0.417       0.015
        11.3         0.7        8.32       0.563       0.005
        14.8         0.8         8.7       0.713       0.008
       11.05        0.79        7.41       0.447       0.008
       18.66        0.76        8.01       0.582       0.022
       12.02        0.93        9.44       0.746       0.031
       10.19        0.66        7.97       0.411        0.01
       17.67        0.91        7.38        0.66       0.004
       11.78        0.98        9.47       0.566       0.026
       12.48        0.49         5.5       0.007       0.004
       31.72        0.55        3.85       0.051       0.005
       13.35        0.81         5.6       0.002       0.003
       10.76         0.9        8.94       0.578       0.017
       30.55         0.9        6.19       0.523       0.004
       18.61        0.59        4.93       0.334       0.011
       14.36        0.59        7.28       0.483       0.015
       11.76        0.98        8.09       0.584       0.002
       15.79        0.93        8.99       0.638        0.02
       10.65        0.86        8.94       0.618       0.019
       13.47        0.99        8.19       0.445       0.015
       12.76        0.78        6.02       0.138       0.005
       16.61        0.69        7.23       0.927       0.021
       19.34        0.98        9.17       0.956       0.006
       16.91        0.63        7.54       0.485       0.015
       10.47        0.85        7.63       0.843       0.003
       11.47        0.67         6.5       0.205       0.006
       49.67        0.53        4.44       0.342       0.011
       11.21        0.86        8.15       0.456       0.015
       15.15        0.91        8.01       0.457       0.017
       18.15        0.87           7        0.49       0.015
       24.85        0.92        7.51       0.595       0.008
        18.5        0.79        8.36       0.611       0.014
       29.65        0.71        7.01       0.567       0.004
       31.93        0.57         6.3       0.528       0.005
       19.48        0.64        7.72       0.582        0.01
       10.76        0.84        8.82       0.665       0.019
       10.05        0.74        7.13       0.283       0.009
       14.11        0.78         8.5        0.56       0.015
       25.91        0.95        9.31       0.943           0
       18.47        0.82        8.61       0.629       0.015
       25.48        0.89         6.8       0.666       0.004
       10.09        0.88        7.44       0.478       0.008
       22.16        0.77        7.13       0.637       0.012
       16.48        0.61        5.21       0.159       0.007
       21.52        0.82        7.95       0.626       0.009
       23.52        0.87        7.49       0.595       0.007
       15.54        0.97        7.43       0.431        0.01
       15.34        0.57        7.01       0.537       0.007
       30.54        0.75        8.47       0.899       0.015
       29.33        0.55        6.12       0.489       0.012
       22.23        0.93        7.15       0.506       0.008
       56.69         0.9        8.85       1.214       0.003
       10.27        0.67        7.74       0.401       0.015
       12.88        0.78        7.91         0.5       0.015
       17.75        0.84         7.7       0.553       0.009
       11.18        0.82        6.62       0.434       0.008
       22.85        0.96        7.83        0.66       0.002
       24.16        0.68        7.22        0.53       0.007
       11.68        0.96        9.26       0.662       0.003
       13.67        0.68        7.95       0.456        0.01
        17.4        0.95        6.75       0.662       0.006
       10.65        0.94        9.26       0.511       0.021
       18.25        0.85        6.73       0.519       0.007
       14.56        0.76        7.23        0.33       0.002
       11.71        0.63        7.58       0.446       0.015
        32.6        0.86        7.49       0.649       0.001
       10.55        0.96        7.91       0.405       0.015
       10.54        0.93         8.6        0.52       0.013
       12.37        0.55        6.32        0.39       0.003
       10.07        0.86        7.81       0.343       0.013
       18.89        0.85        8.94       0.737       0.021
       10.89        0.84        8.71         0.5       0.014
       17.14        0.85        9.08       0.657       0.004
       13.77        0.97        9.52       0.666        0.03
       30.74        0.75        6.86        0.59       0.006
       13.03        0.79        8.96       0.547       0.017
       11.31         0.9        6.96       0.468       0.015
       12.04        0.87         7.6       0.475       0.015
       12.08        0.82        7.89       0.529       0.008
       12.95         0.9        8.24        0.54       0.015
       13.84        0.72        8.16         0.5       0.015
        18.9        0.93        7.03       0.441       0.007
       11.26        0.82         8.5       0.679       0.018
       14.68        0.68        6.49        0.43       0.005
       28.89        0.66        5.54       0.445       0.003
       21.46        0.91        7.72       0.666           0
       11.65        0.96        6.31       0.113       0.006
       21.11        0.96        8.81       0.675       0.016
       14.92        0.98        8.16       0.519        0.01
       10.23        0.78        6.21       0.068       0.004
       28.54        0.84        7.37       0.653       0.006
        14.6        0.88        8.42       0.651       0.014
        15.7        0.63        7.57       0.701       0.009
       20.46        0.91        7.93       0.558       0.008
        19.2        0.99        3.96      -0.105       0.007
        18.6         0.7        8.38       0.637       0.013
       14.86        0.85        5.85        0.06       0.009
       10.15        0.72        7.97       0.534       0.015
       11.96        0.84        7.28       0.446       0.002
       13.73        0.88        7.86       0.487       0.002
       17.63        0.84        6.95       0.383       0.006
       23.78        0.76        8.19       0.619       0.002
       15.11        0.72        6.77       0.532       0.002
       14.99        0.64        7.14       0.591       0.007
        11.5        0.95        8.61        0.61       0.014
       22.16        0.98        8.69       0.722       0.001
       26.35        0.95        9.28       0.974       0.001
        19.1        0.69        7.24        0.56       0.003
        11.1        0.88        8.14       0.527       0.006
       13.53        0.76        7.42       0.369       0.009
       15.35        0.96        9.06       0.603       0.018
       18.21        0.82        7.18       0.421       0.006
       11.53        0.95        8.22        0.63       0.012
       12.78        0.84         8.4       0.628       0.002
          11        0.79        8.32       0.433       0.012
       15.32        0.77        6.32        0.21           0
        36.4        0.57        6.53       0.598       0.004
       22.88        0.96        7.95       0.606       0.015
       18.95        0.99        8.12       0.661       0.002
        11.7         0.9        8.49       0.556       0.012
       14.74        0.93        7.15       0.574       0.007
